CityId,City,Region,Country,Latitude,Longitude,TimeZone,MSL,isHanafi,isnorthernhemisphere,TwilightAngle
10,Mobile,Alabama,United States,30.6871,-88.096,-06:00,,FALSE,FALSE,
277,Eagle,Colorado,United States,39.602,-106.765,-07:00,,FALSE,FALSE,
429,Macomb,Illinois,United States,40.4584,-90.6706,-06:00,,FALSE,FALSE,
616,Redwood Falls,Minnesota,United States,44.4995,-95.1064,-06:00,,FALSE,FALSE,
687,Burwell,Nebraska,United States,41.9224,-98.9816,-06:00,,FALSE,FALSE,
1153,Burlington,Vermont,United States,44.4805,-73.2168,-05:00,,FALSE,FALSE,
1154,Montpelier,Vermont,United States,44.2731,-72.5881,-05:00,,FALSE,FALSE,
1155,Newport,Vermont,United States,44.9201,-72.2004,-05:00,,FALSE,FALSE,
1156,Rutland,Vermont,United States,43.6238,-72.9553,-05:00,,FALSE,FALSE,
1157,Saint Johnsbury,Vermont,United States,44.4161,-71.9767,-05:00,,FALSE,FALSE,
1158,Wilmington,Vermont,United States,42.883,-72.8981,-05:00,,FALSE,FALSE,
1163,Ulaangom,Uvs,Mongolia,49.967,92.033,+08:00,,FALSE,FALSE,
1165,Rio Branco,Acre,Brazil,-8.233,-73.217,-05:00,,FALSE,FALSE,
1166,BelÇm,Paro,Brazil,-1.45,-48.483,-04:00,,FALSE,FALSE,
1171,Denpasar,Bali,Indonesia,-8.65,115.217,+08:00,,FALSE,FALSE,
1172,Macap†,Amap†,Brazil,0.033,-51.05,-04:00,,FALSE,FALSE,
1173,Salvador,Bahia,Brazil,-12.983,-38.517,-03:00,,FALSE,FALSE,
1175,Teresina,Piau°,Brazil,-5.083,-42.817,-03:00,,FALSE,FALSE,
1180,Salt Lake City,Utah,United States,40.7382,-111.881,-07:00,,FALSE,FALSE,
1181,Foz do Iguaáu,Paran†,Brazil,-25.55,-54.5833,-03:00,,FALSE,FALSE,
1182,Montreal,Quebec,Canada,45.5,-73.583,-05:00,,FALSE,FALSE,
1185,Ulan-Ude,Buryatiya,Russia,51.833,107.617,+03:00,,FALSE,FALSE,
1189,Izhevsk,Buryatiya,Russia,56.85,53.233,+03:00,,FALSE,FALSE,
1190,Birobidzhan,Yevreyskaya Avtonomnyy Oblast',Russia,48.8,132.95,+03:00,,FALSE,FALSE,
1191,Hermosillo,Sonora,Mexico,29.067,-110.967,-07:00,,FALSE,FALSE,
1193,Tepic,Nayarit,Mexico,21.517,-104.883,-07:00,,FALSE,FALSE,
1196,Ondorhaan,Hentiy,Mongolia,47.317,110.65,+08:00,,FALSE,FALSE,
1197,Choibalsan,Dornod,Mongolia,48.433,114.867,+08:00,,FALSE,FALSE,
1201,Macei¢,Alagoas,Brazil,-9.667,-35.717,-02:00,,FALSE,FALSE,
1202,Jo?o Pessoa,Para°ba,Brazil,-7.1167,-34.8667,-03:00,,FALSE,FALSE,
1203,Boa Vista,Roraima,Brazil,-21.133,-41.567,-04:00,,FALSE,FALSE,
1204,Aracaju,Sergipe,Brazil,-10.917,-37.067,-03:00,,FALSE,FALSE,
1205,Edmonton,Alberta,Canada,53.55,-113.5,-07:00,,FALSE,FALSE,
1206,Toronto,Ontario,Canada,43.667,-79.417,-05:00,,FALSE,FALSE,
1211,Guadalajara,Jalisco,Mexico,20.667,-103.333,-06:00,,FALSE,FALSE,
1212,Pachuca,Hidalgo,Mexico,20.117,-98.733,-06:00,,FALSE,FALSE,
1213,Cuernavaca,Morelos,Mexico,18.917,-99.25,-06:00,,FALSE,FALSE,
1214,Tuxtla Gutierrez,Chiapas,Mexico,16.75,-93.117,-06:00,,FALSE,FALSE,
1215,Villahermosa,Tabasco,Mexico,17.983,-92.917,-06:00,,FALSE,FALSE,
1216,Merida,Yucatan,Mexico,24.55,-98.917,-06:00,,FALSE,FALSE,
1217,Moron,Hovsgol,Mongolia,49.645,100.154,+08:00,,FALSE,FALSE,
1218,Suhbaatar,Selenge,Mongolia,50.231,106.208,+08:00,,FALSE,FALSE,
1221,Honolulu,Hawaii,United States,21.3084,-157.846,-10:00,,FALSE,FALSE,
1222,Kansas City,Kansas,United States,39.1108,-94.677,-06:00,,FALSE,FALSE,
1225,Melbourne,Victoria,Australia,-37.817,144.967,+10:00,,FALSE,FALSE,
1226,Hobart,Tasmania,Australia,-42.917,147.333,+10:00,,FALSE,FALSE,
1227,Man†us,Amazonas,Brazil,-3.113,-60.025,-04:00,,FALSE,FALSE,
1228,S?o Lu°s,Maranh?o,Brazil,-2.517,-44.267,-03:00,,FALSE,FALSE,
1229,Porto Velho,Rondìnia,Brazil,-9.6,-64.883,-03:00,,FALSE,FALSE,
1230,Winnipeg,Manitoba,Canada,49.883,-97.167,-06:00,,FALSE,FALSE,
1231,Makhachkala,Dagestan,Russia,42.975,47.502,+03:00,,FALSE,FALSE,
1232,Yoshkar-Ola,Mariy-El,Russia,56.637,47.871,+03:00,,FALSE,FALSE,
1235,Ujung Pandang,Sulawesi Selatan,Indonesia,-5.1167,119.4,+08:00,,FALSE,FALSE,
1236,Saltillo,Coahuila de Zaragoza,Mexico,20.317,-98.267,-06:00,,FALSE,FALSE,
1237,Acapulco,Guerrero,Mexico,16.85,-99.917,-06:00,,FALSE,FALSE,
1238,Tsetserleg,Arhangay,Mongolia,49.5,97.6,+08:00,,FALSE,FALSE,
1242,Miami,Florida,United States,25.7652,-80.273,-05:00,,FALSE,FALSE,
1249,Recife,Pernambuco,Brazil,-8.05,-34.9,-02:00,,FALSE,FALSE,
1250,S?o Paulo,S?o Paulo,Brazil,-23.533,-46.617,-03:00,,FALSE,FALSE,
1251,Palmas,Tocantins,Brazil,-10.421,-48.436,-03:00,,FALSE,FALSE,
1253,Kazan,Tatarstan,Russia,55.75,49.133,+03:00,,FALSE,FALSE,
1254,Queretaro,Queretaro de Arteaga,Mexico,32.55,-115.15,-06:00,,FALSE,FALSE,
1255,Morelia,Michoacan de Ocampo,Mexico,22.483,-102.383,-06:00,,FALSE,FALSE,
1265,Omaha,Nebraska,United States,41.2166,-96.065,-06:00,,FALSE,FALSE,
1267,Oklahoma City,Oklahoma,United States,35.4131,-97.5141,-06:00,,FALSE,FALSE,
1268,Brisbane,Queensland,Australia,-27.5,153.017,+10:00,,FALSE,FALSE,
1275,Monterrey,Nuevo Leon,Mexico,25.667,-100.317,-06:00,,FALSE,FALSE,
1276,Ciudad Victoria,Tamaulipas,Mexico,23.733,-99.133,-06:00,,FALSE,FALSE,
1277,Leon,Guanajuato,Mexico,21.117,-101.667,-06:00,,FALSE,FALSE,
1278,Altai,Govi-Altay,Mongolia,44.917,95.417,+08:00,,FALSE,FALSE,
